effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,index,n_subjects,n_obs
fixed,(Intercept),1.449985620654807,0.02572318465753689,56.36882213299205,389.39988690251863,2.248195840397648e-189,1.3994119164755718,1.500559324834042,LMR (ratio),275,760
fixed,timepointT1,-0.10293780742084879,0.018459853259394296,-5.576306917199535,494.41142449284933,4.048271361322379e-8,-0.13920724206750024,-0.06666837277419733,LMR (ratio),275,760
fixed,timepointT2,-0.015711458122945783,0.019292846061163722,-0.8143670494822829,500.33123691986543,0.4158221357753601,-0.05361643461154669,0.022193518365655127,LMR (ratio),275,760
fixed,age_c,-0.0010284009096988079,5.447842231471957e-4,-1.8877215345146723,305.6113454827193,0.06001061795713383,-0.00210040370054803,4.360188115041402e-5,LMR (ratio),275,760
fixed,sexM,-0.21235641866923616,0.03789033373974536,-5.604501140787875,298.5680694124849,4.7503620120113717e-8,-0.28692236898870466,-0.13779046834976766,LMR (ratio),275,760
fixed,BMI_c,-0.009278147630734824,0.0035263036068129954,-2.631125582269484,280.08010655251815,0.00898162652794535,-0.01621957068851278,-0.0023367245729568687,LMR (ratio),275,760
fixed,(Intercept),0.3705904028939217,0.03210796569957265,11.542008184556337,409.47724296219474,7.119863822405916e-27,0.30747339007869207,0.43370741570915133,NLR (ratio),275,747
fixed,timepointT1,0.0880323575252928,0.025516307768412794,3.4500429421168066,482.924869203244,6.096320637344452e-4,0.037895660163506574,0.13816905488707903,NLR (ratio),275,747
fixed,timepointT2,-0.08301977251605729,0.026807673722864786,-3.096865971076338,490.9753081002298,0.002067684157208402,-0.13569169003668619,-0.03034785499542838,NLR (ratio),275,747
fixed,age_c,9.568146456826636e-4,6.692221511575809e-4,1.4297414453894304,309.5649348528111,0.15379966957158392,-3.5998484841743444e-4,0.002273614139782762,NLR (ratio),275,747
fixed,sexM,0.1439889852747266,0.04653007528126445,3.094535833100283,290.6478192897365,0.002163204681880123,0.05241037494747765,0.23556759560197554,NLR (ratio),275,747
fixed,BMI_c,0.008189531151527022,0.004313934423528781,1.8983902738206249,277.4994979876748,0.05868210013800385,-3.0266229238648697e-4,0.016681724595440532,NLR (ratio),275,747
fixed,(Intercept),4.8933842871610285,0.026168340508982393,186.99635483118823,344.05153424526725,0,4.841914223175676,4.944854351146381,PLR (ratio),275,760
fixed,timepointT1,0.1163832945297758,0.014188808513784635,8.202471293957327,487.11186957920205,2.1115538826757975e-15,0.08850447120609589,0.14426211785345572,PLR (ratio),275,760
fixed,timepointT2,0.08181674590540583,0.014851294119524436,5.509065085300845,490.3097981903179,5.834334420421862e-8,0.052636714442971515,0.11099677736784014,PLR (ratio),275,760
fixed,age_c,5.405889387222909e-4,5.730673232215307e-4,0.9433253595464828,286.1474348998837,0.3463102761015465,-5.873731387617232e-4,0.001668551016206305,PLR (ratio),275,760
fixed,sexM,-0.029257023669176884,0.03959852632837277,-0.7388412242052026,318.15154788235134,0.46054812801913947,-0.10716507965685114,0.048651032318497364,PLR (ratio),275,760
fixed,BMI_c,-0.002742120444631996,0.0037455513193647393,-0.7321006203960038,275.80026586474094,0.4647288040630063,-0.010115622596147615,0.004631381706883622,PLR (ratio),275,760
fixed,(Intercept),5.937683611239825,0.03658634916218569,162.29232342692438,380.71346539420983,0,5.865746996479199,6.00962022600045,SII (a.u.),275,747
fixed,timepointT1,0.058396727488653245,0.02597113446794978,2.2485243207499828,480.11853315667656,0.024995521783133155,0.007365597016790841,0.10942785796051566,SII (a.u.),275,747
fixed,timepointT2,-0.13289981409760776,0.027313901316039932,-4.865647443031622,486.339002523987,1.5437715063237018e-6,-0.186567635635395,-0.07923199255982052,SII (a.u.),275,747
fixed,age_c,0.0014081989193422773,7.76099445768832e-4,1.814456803209368,299.39932288717574,0.07060816034905845,-1.1910192785650033e-4,0.002935499766541055,SII (a.u.),275,747
fixed,sexM,0.018819926815232386,0.05409283271133054,0.34791904716223665,296.90209740872433,0.7281475171865974,-0.08763402042018895,0.1252738740506537,SII (a.u.),275,747
fixed,BMI_c,0.0111458815003773,0.005035186814654794,2.2135984047180677,276.8845109720118,0.027671554216800984,0.001233770593228014,0.021057992407526586,SII (a.u.),275,747
