Index,Contrast,Ratio (post/pre),% change,log(Δ),95% CI (log),P (Tukey),P (FDR all),Signif.,n_subjects,n_obs
LMR (ratio),T0 - T1,1.108,10.8,0.103,"[0.06, 0.146]",1.2e-07,3.7e-07,☆☆☆,275,760
LMR (ratio),T0 - T2,1.016,1.6,0.016,"[-0.03, 0.061]",0.6944,0.6944,,275,760
LMR (ratio),T1 - T2,0.916,-8.4,-0.087,"[-0.133, -0.042]",2.7e-05,4.6e-05,☆☆☆,275,760
NLR (ratio),T0 - T1,0.916,-8.4,-0.088,"[-0.148, -0.028]",0.0018,0.0026,☆☆,275,747
NLR (ratio),T0 - T2,1.087,8.7,0.083,"[0.02, 0.146]",0.0059,0.0078,☆☆,275,747
NLR (ratio),T1 - T2,1.187,18.7,0.171,"[0.107, 0.235]",2.1e-09,8.3e-09,☆☆☆,275,747
PLR (ratio),T0 - T1,0.89,-11,-0.116,"[-0.15, -0.083]",7.8e-11,5.9e-10,☆☆☆,275,760
PLR (ratio),T0 - T2,0.921,-7.9,-0.082,"[-0.117, -0.047]",1.8e-07,4.2e-07,☆☆☆,275,760
PLR (ratio),T1 - T2,1.035,3.5,0.035,"[-0.001, 0.07]",0.0549,0.0659,,275,760
SII (a.u.),T0 - T1,0.943,-5.7,-0.058,"[-0.119, 0.003]",0.0643,0.0702,,275,747
SII (a.u.),T0 - T2,1.142,14.2,0.133,"[0.069, 0.197]",4.6e-06,9.3e-06,☆☆☆,275,747
SII (a.u.),T1 - T2,1.211,21.1,0.191,"[0.126, 0.256]",9.9e-11,5.9e-10,☆☆☆,275,747
